date_time,temp,rain_1h,snow_1h,clouds_all,traffic_volume
2012-10-02 09:00:00,288.28,0.0,0.0,40.0,5545
2012-10-02 10:00:00,289.36,0.0,0.0,75.0,4516
2012-10-02 11:00:00,289.58,0.0,0.0,90.0,4767
2012-10-02 12:00:00,290.13,0.0,0.0,90.0,5026
2012-10-02 13:00:00,291.14,0.0,0.0,75.0,4918
2012-10-02 14:00:00,291.72,0.0,0.0,1.0,5181
2012-10-02 15:00:00,293.17,0.0,0.0,1.0,5584
2012-10-02 16:00:00,293.86,0.0,0.0,1.0,6015
2012-10-02 17:00:00,294.14,0.0,0.0,20.0,5791
2012-10-02 18:00:00,293.1,0.0,0.0,20.0,4770
2012-10-02 19:00:00,290.97,0.0,0.0,20.0,3539
2012-10-02 20:00:00,289.38,0.0,0.0,1.0,2784
2012-10-02 21:00:00,288.61,0.0,0.0,1.0,2361
2012-10-02 22:00:00,287.16,0.0,0.0,1.0,1529
2012-10-02 23:00:00,285.45,0.0,0.0,1.0,963
2012-10-03 00:00:00,284.63,0.0,0.0,1.0,506
2012-10-03 01:00:00,283.47,0.0,0.0,1.0,321
2012-10-03 02:00:00,281.18,0.0,0.0,1.0,273
2012-10-03 03:00:00,281.09,0.0,0.0,1.0,367
2012-10-03 04:00:00,279.53,0.0,0.0,1.0,814
2012-10-03 05:00:00,278.62,0.0,0.0,1.0,2718
2012-10-03 06:00:00,278.23,0.0,0.0,1.0,5673
2012-10-03 08:00:00,278.12,0.0,0.0,1.0,6511
2012-10-03 09:00:00,282.48,0.0,0.0,1.0,5471
2012-10-03 12:00:00,291.97,0.0,0.0,1.0,5097
2012-10-03 13:00:00,293.23,0.0,0.0,1.0,4887
2012-10-03 14:00:00,294.31,0.0,0.0,1.0,5337
2012-10-03 15:00:00,295.17,0.0,0.0,1.0,5692
2012-10-03 16:00:00,295.13,0.0,0.0,1.0,6137
2012-10-03 18:00:00,293.66,0.0,0.0,20.0,4623
2012-10-03 19:00:00,290.65,0.0,0.0,20.0,3591
2012-10-03 20:00:00,288.19,0.0,0.0,20.0,2898
2012-10-03 21:00:00,287.1,0.0,0.0,1.0,2637
2012-10-03 22:00:00,286.25,0.0,0.0,1.0,1777
2012-10-03 23:00:00,285.26,0.0,0.0,1.0,1015
2012-10-04 00:00:00,284.55,0.0,0.0,1.0,598
2012-10-04 01:00:00,283.47,0.0,0.0,1.0,369
2012-10-04 02:00:00,283.17,0.0,0.0,1.0,312
2012-10-04 03:00:00,282.04,0.0,0.0,1.0,367
2012-10-04 04:00:00,281.69,0.0,0.0,1.0,835
2012-10-04 05:00:00,281.32,0.0,0.0,1.0,2726
2012-10-04 06:00:00,280.74,0.0,0.0,1.0,5689
2012-10-04 07:00:00,280.57,0.0,0.0,1.0,6990
2012-10-04 08:00:00,281.86,0.0,0.0,1.0,5985
2012-10-04 09:00:00,284.98,0.0,0.0,1.0,5309
2012-10-04 10:00:00,289.18,0.0,0.0,1.0,4603
2012-10-04 11:00:00,291.55,0.0,0.0,1.0,4884
